symbol,company_name,sector,current_price,num_analysts,long_term_score,value_score_v2,forward_pe,peg_ratio,sentiment_score,article_count,positive_pct,past_30d_return,sentiment_quintile
VFC,V.F. Corporation,Consumer Cyclical,20.435,17,51.0,31.0,19.98,0.77,71.0,20.0,80.0,10.111464968152873,Q2
TYL,"Tyler Technologies, Inc.",Technology,365.235,17,23.0,8.0,25.5,1.81,81.0,20.0,85.0,-17.6728632963047,Q4
TENB,"Tenable Holdings, Inc.",Technology,22.24,17,33.0,13.0,11.14,0.86,75.0,20.0,80.0,-4.974837310195223,Q3
TAL,TAL Education Group,Consumer Defensive,12.315,17,56.0,21.0,17.58,0.73,76.0,14.0,78.6,6.881533101045288,Q3
SRAD,Sportradar Group AG,Technology,18.6342,17,30.0,43.0,24.14,0.45,89.0,12.0,100.0,-20.455531453362255,Q5 (High)
SPGI,S&P Global Inc.,Financial Services,527.66,17,48.0,13.0,23.59,2.0,77.0,20.0,95.0,-0.8256708575717728,Q3
SO,The Southern Company,Utilities,88.57,17,30.0,41.0,18.08,2.4,81.0,20.0,85.0,1.5022447335098337,Q4
SNPS,"Synopsys, Inc.",Technology,463.4806,17,23.0,11.0,27.42,1.56,74.0,20.0,70.0,-6.5632651409376965,Q3
PH,Parker-Hannifin Corporation,Industrials,950.235,17,56.0,27.0,28.06,2.85,82.0,20.0,95.0,4.8374113729338735,Q5 (High)
NEM,Newmont Corporation,Basic Materials,112.04,17,55.0,30.0,11.25,1.08,66.0,20.0,65.0,8.562735439003182,Q1 (Low)
MOS,The Mosaic Company,Basic Materials,27.26,17,35.0,40.0,10.35,0.67,73.0,20.0,70.0,9.63007639726578,Q2
MNSO,MINISO Group Holding Limited,Consumer Cyclical,18.45,17,28.0,12.0,1.44,0.06,73.0,20.0,75.0,-5.572597137014315,Q2
GENC,"Gencor Industries, Inc.",Industrials,14.505,17,43.0,34.0,17.06,,65.0,6.0,66.7,9.139375476009134,Q1 (Low)
KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,95.4,17,70.0,28.0,89.89,2.49,74.0,20.0,85.0,14.544645835649947,Q3
IQV,IQVIA Holdings Inc.,Healthcare,229.98,17,51.0,34.0,16.07,1.51,84.0,20.0,90.0,-1.8926637964107582,Q5 (High)
INCY,Incyte Corporation,Healthcare,101.8,17,45.0,30.0,10.95,0.53,82.0,20.0,90.0,-1.6897534138913577,Q5 (High)
GTM,ZoomInfo Technologies Inc.,Technology,8.0,17,46.0,51.0,6.71,0.89,73.0,19.0,68.4,-21.386718749999993,Q2
GFS,GLOBALFOUNDRIES Inc.,Technology,42.42,17,73.0,50.0,18.15,0.71,75.0,20.0,70.0,13.65472663614328,Q3
GENI,Genius Sports Limited,Communication Services,8.635,17,30.0,13.0,27.1,0.11,78.0,20.0,90.0,-22.73534635879219,Q4
GDS,GDS Holdings Limited,Technology,44.715,17,46.0,27.0,140.03,,73.0,12.0,66.7,19.078070876632015,Q2
FTI,TechnipFMC plc,Energy,55.99,17,46.0,28.0,16.87,0.91,78.0,20.0,80.0,15.386208324704908,Q4
FLUT,Flutter Entertainment plc,Consumer Cyclical,165.39,17,36.0,41.0,12.27,0.29,77.0,20.0,85.0,-25.413241802908495,Q3
FIVE,"Five Below, Inc.",Consumer Cyclical,196.3417,17,61.0,25.0,28.43,3.01,71.0,20.0,70.0,-2.542717656631408,Q2
EFX,Equifax Inc.,Industrials,200.345,17,34.0,52.0,19.04,0.91,76.0,20.0,85.0,-8.782100638615873,Q3
DOCU,"DocuSign, Inc.",Technology,52.5701,17,26.0,23.0,12.75,1.43,67.0,20.0,65.0,-18.340068386695684,Q1 (Low)
CVNA,Carvana Co.,Consumer Cyclical,410.875,17,50.0,15.0,38.43,0.85,57.0,20.0,50.0,-6.731618843882246,Q1 (Low)
CTVA,"Corteva, Inc.",Basic Materials,73.27,17,36.0,21.0,17.79,1.43,79.0,20.0,85.0,7.295504789977897,Q4
CRCL,Circle Internet Group,Financial Services,60.83,17,,,34.78,0.35,59.0,20.0,60.0,-24.61084905660377,Q1 (Low)
CHWY,"Chewy, Inc.",Consumer Cyclical,28.945,17,10.0,2.0,35.72,0.65,77.0,20.0,85.0,-9.455676516329703,Q3
BBY,"Best Buy Co., Inc.",Consumer Cyclical,65.185,17,25.0,42.0,9.69,1.48,84.0,20.0,85.0,-7.066381156316921,Q5 (High)
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,22.539,17,65.0,27.0,,,75.0,20.0,70.0,-9.20788098110174,Q3
RUN,Sunrun Inc.,Energy,18.15,17,65.0,0.0,57.55,,78.0,20.0,85.0,3.7117903930130987,Q4
QLYS,"Qualys, Inc.",Technology,136.145,17,54.0,39.0,17.2,2.59,76.0,20.0,85.0,0.6716531827201918,Q3
NTRA,"Natera, Inc.",Healthcare,230.595,17,63.0,16.0,,,78.0,20.0,85.0,-2.645101507876338,Q4
MRNA,"Moderna, Inc.",Healthcare,43.5829,17,65.0,2.0,,,60.0,20.0,60.0,36.99098539011501,Q1 (Low)
MNST,Monster Beverage Corporation,Consumer Defensive,80.2609,17,48.0,0.0,31.5,2.49,79.0,20.0,90.0,6.726575921765566,Q4
LYV,"Live Nation Entertainment, Inc.",Communication Services,145.74,17,39.0,24.0,48.07,1.09,73.0,20.0,85.0,0.0963457435826759,Q2
LULU,Lululemon Athletica Inc.,Consumer Cyclical,178.7499,17,35.0,66.0,14.23,,49.0,20.0,45.0,-17.843691148775896,Q1 (Low)
ZTS,Zoetis Inc.,Healthcare,124.2596,16,31.0,34.0,16.74,1.92,80.0,20.0,95.0,-4.050398083017708,Q4
XYL,Xylem Inc.,Industrials,140.175,16,46.0,18.0,22.82,2.19,83.0,20.0,100.0,0.9280575539568289,Q5 (High)
WMT,Walmart Inc.,Consumer Defensive,123.3,16,43.0,7.0,41.52,3.28,69.0,20.0,70.0,9.888208677136022,Q2
VRNS,"Varonis Systems, Inc.",Technology,29.8618,16,33.0,0.0,54.21,0.92,55.0,20.0,65.0,-9.936396835057822,Q1 (Low)
TXN,Texas Instruments Incorporated,Technology,221.8,16,33.0,0.0,29.09,1.53,73.0,20.0,80.0,26.691877857425084,Q2
TREX,"Trex Company, Inc.",Industrials,41.52,16,44.0,50.0,22.39,1.68,76.0,20.0,95.0,15.599116510215346,Q3
TMUS,"T-Mobile US, Inc.",Communication Services,196.0508,16,35.0,42.0,13.74,0.55,77.0,20.0,90.0,-3.0780145374888,Q3
THC,Tenet Healthcare Corporation,Healthcare,188.915,16,50.0,56.0,10.48,0.97,82.0,20.0,95.0,-8.704893483406591,Q5 (High)
SRPT,"Sarepta Therapeutics, Inc.",Healthcare,20.78,16,35.0,8.0,8.0,0.23,75.0,20.0,80.0,-1.0441385856668195,Q3
SHW,The Sherwin-Williams Company,Basic Materials,360.85,16,33.0,10.0,26.5,2.1,83.0,20.0,90.0,8.419626730885017,Q5 (High)
SHLS,"Shoals Technologies Group, Inc.",Energy,9.305,16,63.0,28.0,15.6,0.73,68.0,8.0,62.5,5.343082114735654,Q2
SAN,"Banco Santander, S.A.",Financial Services,13.06,16,55.0,43.0,8.29,0.54,71.0,20.0,75.0,7.899090157154674,Q2
SAIA,"Saia, Inc.",Industrials,360.9982,16,46.0,34.0,26.61,0.96,79.0,20.0,95.0,4.685419676496423,Q4
RBLX,Roblox Corporation,Technology,68.22,16,40.0,0.0,,,71.0,20.0,70.0,-15.807008884501483,Q2
PPG,"PPG Industries, Inc.",Basic Materials,117.675,16,40.0,34.0,13.56,1.57,60.0,20.0,60.0,11.168139910654881,Q1 (Low)
PAYC,"Paycom Software, Inc.",Technology,134.26,16,30.0,44.0,12.03,1.05,80.0,20.0,95.0,-12.986928104575165,Q4
NP,Neptune Insurance Holdings Inc.,Technology,25.81,16,,,51.62,,81.0,7.0,100.0,-12.747778537252222,Q4
RXO,"RXO, Inc.",Industrials,15.26,16,38.0,13.0,33.51,0.08,58.0,20.0,50.0,16.679245283018872,Q1 (Low)
IOT,Samsara Inc.,Technology,27.1,16,30.0,5.0,45.9,2.79,77.0,20.0,85.0,-18.173862310385065,Q3
INSM,Insmed Incorporated,Healthcare,153.945,16,70.0,28.0,220.49,,76.0,20.0,75.0,-10.462328767123278,Q3
IDYA,"IDEAYA Biosciences, Inc.",Healthcare,34.0782,16,55.0,2.0,,,72.0,19.0,68.4,-7.870635374928449,Q2
HSAI,Hesai Group,Consumer Cyclical,22.994,16,70.0,19.0,3.39,0.06,75.0,20.0,95.0,-1.5670103092783463,Q3
GNRC,Generac Holdings Inc.,Industrials,168.85,16,41.0,22.0,17.39,0.84,74.0,20.0,75.0,13.02125369921979,Q3
GEHC,GE HealthCare Technologies Inc.,Healthcare,79.47,16,55.0,42.0,14.37,1.21,81.0,20.0,90.0,-7.137817497648173,Q4
FROG,JFrog Ltd.,Technology,56.14,16,70.0,11.0,50.34,1.93,69.0,20.0,65.0,-6.913538304739257,Q2
EXEL,"Exelixis, Inc.",Healthcare,42.04,16,36.0,29.0,12.74,1.03,83.0,20.0,95.0,-2.4528301886792434,Q5 (High)
EXAS,Exact Sciences Corporation,Healthcare,102.47,16,58.0,0.0,75.95,0.29,67.0,20.0,70.0,0.7184332250762759,Q1 (Low)
ETR,Entergy Corporation,Utilities,96.04,16,46.0,33.0,19.57,1.63,81.0,20.0,90.0,3.6088600756347953,Q4
EMR,Emerson Electric Co.,Industrials,148.88,16,51.0,24.0,20.86,2.08,79.0,20.0,90.0,2.8771438571928694,Q4
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,199.48,16,41.0,26.0,17.5,2.27,81.0,20.0,90.0,3.4724384926814067,Q4
CYTK,"Cytokinetics, Incorporated",Healthcare,64.84,16,60.0,2.0,,,82.0,20.0,85.0,3.1505060398302316,Q5 (High)
CSGP,"CoStar Group, Inc.",Real Estate,62.43,16,25.0,8.0,34.34,0.94,66.0,20.0,70.0,-7.40740740740741,Q1 (Low)
CGNX,Cognex Corporation,Technology,39.41,16,45.0,4.0,29.02,1.41,71.0,20.0,80.0,3.6660422799036785,Q2
CAVA,"CAVA Group, Inc.",Consumer Cyclical,59.35,16,43.0,31.0,78.33,2.43,66.0,20.0,65.0,-4.505356017643352,Q1 (Low)
BROS,Dutch Bros Inc.,Consumer Cyclical,53.61,16,28.0,25.0,46.4,1.48,77.0,20.0,80.0,-9.53093812375249,Q3
BBIO,"BridgeBio Pharma, Inc.",Healthcare,78.49,16,75.0,25.0,85.11,,78.0,20.0,85.0,5.243802778534452,Q4
BA,The Boeing Company,Industrials,234.58,16,70.0,24.0,42.74,0.22,68.0,20.0,75.0,2.4503572524437836,Q2
AXSM,"Axsome Therapeutics, Inc.",Healthcare,186.1547,16,75.0,25.0,25.07,0.02,77.0,20.0,80.0,7.440667094291206,Q3
ALAB,"Astera Labs, Inc. Common Stock",Technology,152.485,16,35.0,3.0,45.48,1.14,76.0,20.0,90.0,-9.867751780264502,Q3
ACN,Accenture plc,Technology,266.84,16,34.0,42.0,17.87,2.28,87.0,20.0,95.0,-0.1287976361845715,Q5 (High)
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,25.885,16,48.0,18.0,23.34,0.45,73.0,20.0,70.0,-3.9005736137667286,Q2
ABT,Abbott Laboratories,Healthcare,110.04,16,26.0,23.0,17.61,1.75,82.0,20.0,90.0,-13.56267299327798,Q5 (High)
PCTY,Paylocity Holding Corporation,Technology,136.06,16,39.0,37.0,16.53,1.68,77.0,18.0,77.8,-10.127172248485257,Q3
NTLA,"Intellia Therapeutics, Inc.",Healthcare,12.95,16,55.0,2.0,,,64.0,20.0,60.0,40.34151547491997,Q1 (Low)
MDLZ,"Mondelez International, Inc.",Consumer Defensive,58.7182,16,26.0,16.0,17.1,1.77,74.0,20.0,80.0,8.801637513956079,Q3
MAS,Masco Corporation,Industrials,66.64,16,31.0,32.0,14.47,1.41,85.0,20.0,90.0,3.6055808120395114,Q5 (High)
MAR,"Marriott International, Inc.",Consumer Cyclical,318.7548,16,53.0,27.0,25.17,2.22,84.0,20.0,95.0,1.37285792367297,Q5 (High)
XRAY,DENTSPLY SIRONA Inc.,Healthcare,12.3,15,35.0,0.0,7.34,0.77,79.0,20.0,85.0,5.813953488372099,Q4
XPO,"XPO Logistics, Inc.",Industrials,157.755,15,51.0,34.0,28.82,1.03,73.0,20.0,85.0,10.392697209782987,Q2
XENE,Xenon Pharmaceuticals Inc.,Healthcare,41.69,15,60.0,2.0,,,73.0,20.0,75.0,-0.7896625987078209,Q2
WIX,Wix.com Ltd.,Technology,84.7325,15,36.0,17.0,11.33,0.62,74.0,20.0,75.0,-17.133556914578804,Q3
VST,Vistra Corp.,Utilities,155.97,15,26.0,30.0,14.21,0.57,75.0,20.0,80.0,-4.848708034125088,Q3
VMC,Vulcan Materials Company,Basic Materials,305.87,15,41.0,21.0,27.1,1.78,82.0,20.0,80.0,3.424680621566039,Q5 (High)
TAP,Molson Coors Beverage Company,Consumer Defensive,48.2,15,35.0,0.0,8.46,2.48,73.0,20.0,70.0,4.426689699848838,Q2
RTX,RTX Corporation,Industrials,198.34,15,43.0,21.0,26.2,2.38,77.0,20.0,85.0,6.748645490279408,Q3
PCOR,"Procore Technologies, Inc.",Technology,56.51,15,50.0,9.0,25.82,1.05,82.0,19.0,84.2,-23.168724279835402,Q5 (High)
PATH,UiPath Inc.,Technology,12.8176,15,38.0,8.0,16.85,1.27,73.0,20.0,85.0,-21.83406113537119,Q2
MTZ,"MasTec, Inc.",Industrials,244.4,15,43.0,23.0,24.74,1.14,84.0,20.0,100.0,5.722516015305904,Q5 (High)
MRK,"Merck & Co., Inc.",Healthcare,112.53,15,50.0,33.0,11.49,0.13,58.0,20.0,70.0,4.723566641846615,Q1 (Low)
WEN,The Wendy's Company,Consumer Cyclical,7.835,15,25.0,41.0,8.53,1.43,73.0,20.0,80.0,-5.681874229346474,Q2
CSXXY,carsales.com Ltd,Communication Services,38.96,15,24.0,25.0,,,97.0,1.0,100.0,-2.599999999999998,Q5 (High)
KR,The Kroger Co.,Consumer Defensive,62.03,15,30.0,35.0,11.78,1.2,79.0,20.0,85.0,1.715487943032857,Q4
JAZZ,Jazz Pharmaceuticals plc,Healthcare,166.824,15,53.0,14.0,6.61,0.48,69.0,20.0,65.0,-5.676931016686724,Q2
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,82.9,15,70.0,28.0,,,89.0,20.0,95.0,5.271870622691965,Q5 (High)
INSP,"Inspire Medical Systems, Inc.",Healthcare,74.775,15,28.0,13.0,29.2,0.64,89.0,20.0,90.0,-20.029548332629805,Q5 (High)
HTHT,H World Group Limited,Consumer Cyclical,47.592,15,46.0,24.0,2.49,0.2,78.0,20.0,80.0,-2.162273476112035,Q4
HSY,The Hershey Company,Consumer Defensive,195.34,15,51.0,29.0,23.71,1.41,69.0,20.0,70.0,8.200455580865599,Q2
HLN,Haleon plc,Healthcare,10.495,15,46.0,35.0,23.65,2.55,77.0,17.0,76.5,3.5608308605341366,Q3
GS,"The Goldman Sachs Group, Inc.",Financial Services,943.23999,15,45.0,2.0,14.51,1.26,75.0,20.0,85.0,-1.373834928935946,Q3
GKOS,Glaukos Corporation,Healthcare,119.06,15,75.0,22.0,199.51,,82.0,20.0,85.0,6.10612390009776,Q5 (High)
GH,"Guardant Health, Inc.",Healthcare,115.23,15,60.0,0.0,,,75.0,20.0,80.0,11.946598606066557,Q3
GD,General Dynamics Corporation,Industrials,346.42,15,46.0,17.0,18.88,1.75,83.0,20.0,95.0,-1.2571717853526907,Q5 (High)
FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,64.66,15,44.0,26.0,25.48,1.27,81.0,20.0,90.0,3.2884434700908147,Q4
FMC,FMC Corporation,Basic Materials,15.56,15,23.0,9.0,5.46,0.28,61.0,20.0,60.0,12.136266855926195,Q1 (Low)
EPAM,"EPAM Systems, Inc.",Technology,211.39,15,51.0,32.0,15.09,1.29,85.0,20.0,95.0,0.9631673200716231,Q5 (High)
DUOL,"Duolingo, Inc.",Technology,133.23,15,40.0,15.0,24.97,1.07,70.0,20.0,75.0,-27.593842830137728,Q2
DOCS,"Doximity, Inc.",Healthcare,38.005,15,43.0,37.0,22.03,2.41,75.0,20.0,85.0,-17.990807616546288,Q3
DLTR,"Dollar Tree, Inc.",Consumer Defensive,117.46,15,41.0,26.0,17.61,1.09,84.0,20.0,90.0,-8.540094889943214,Q5 (High)
DELL,Dell Technologies Inc.,Technology,117.13,15,30.0,44.0,10.21,0.66,70.0,20.0,65.0,-7.7171195871300755,Q2
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,21.033,15,35.0,68.0,40.95,,80.0,20.0,80.0,-13.243922883487008,Q4
CRSP,CRISPR Therapeutics AG,Healthcare,50.6749,15,45.0,2.0,,,68.0,20.0,75.0,-9.410698096101537,Q2
CPT,Camden Property Trust,Real Estate,108.64,15,26.0,21.0,82.45,4.58,79.0,20.0,90.0,-0.0458295142071468,Q4
COHR,"Coherent, Inc.",Technology,226.36,15,58.0,19.0,35.31,1.37,71.0,20.0,75.0,13.854904485941185,Q2
CMI,Cummins Inc.,Industrials,584.585,15,46.0,19.0,18.54,0.92,77.0,20.0,85.0,8.862140304683091,Q3
CHYM,"Chime Financial, Inc. Class A Common Stock",Financial Services,25.06,15,,,55.87,,74.0,20.0,80.0,-8.626887131560023,Q3
CF,"CF Industries Holdings, Inc.",Basic Materials,89.5,15,40.0,40.0,14.17,,75.0,20.0,75.0,16.15998006478943,Q3
CELH,"Celsius Holdings, Inc.",Consumer Defensive,50.995,15,40.0,6.0,27.81,1.28,73.0,20.0,80.0,9.128716988978985,Q2
CAKE,The Cheesecake Factory Incorporated,Consumer Cyclical,58.3037,15,41.0,24.0,13.09,1.21,77.0,16.0,75.0,6.017925736235593,Q3
BRZE,"Braze, Inc.",Technology,21.86,15,43.0,0.0,34.56,0.69,77.0,20.0,85.0,-34.65160075329566,Q3
BLDR,"Builders FirstSource, Inc.",Industrials,113.3135,15,45.0,47.0,13.62,0.46,72.0,20.0,70.0,5.496126890446337,Q2
BIRK,Birkenstock Holding plc,Consumer Cyclical,37.19,15,38.0,59.0,15.01,0.79,66.0,20.0,70.0,-9.578544061302683,Q1 (Low)
ATAT,Atour Lifestyle Holdings Limited,Consumer Cyclical,36.31,15,51.0,47.0,1.98,0.09,77.0,18.0,83.3,-10.939446797906802,Q3
APTV,Aptiv PLC,Consumer Cyclical,78.75,15,63.0,63.0,8.53,0.82,68.0,20.0,70.0,-5.923994038748132,Q2
AMCR,Amcor plc,Consumer Cyclical,43.375,15,36.0,13.0,9.8,0.91,75.0,20.0,80.0,4.609929078014192,Q3
ALB,Albemarle Corporation,Basic Materials,166.36,15,70.0,38.0,21.02,0.27,64.0,20.0,70.0,16.76589338260453,Q1 (Low)
ROP,"Roper Technologies, Inc.",Industrials,371.93,15,34.0,34.0,15.97,1.9,66.0,20.0,75.0,-13.999444006857251,Q1 (Low)
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,753.18,15,41.0,31.0,14.43,0.9,76.0,20.0,75.0,-2.8536614126803155,Q3
PSKY,Paramount Skydance Corporation Class B Common Stock,Communication Services,11.175,15,21.0,20.0,9.27,1.24,51.0,20.0,40.0,-13.636363636363633,Q1 (Low)
OS,"OneStream, Inc. Class A Common Stock",Technology,23.6354,15,65.0,19.0,55.28,1.0,74.0,20.0,90.0,28.38499184339314,Q3
NUVL,"Nuvalent, Inc.",Healthcare,105.11,15,60.0,2.0,,,68.0,20.0,55.0,5.054114764141314,Q2
NTSK,"Netskope, Inc. Class A Common Stock",Technology,14.75,15,,,,,86.0,20.0,95.0,-13.41107871720116,Q5 (High)
NTNX,"Nutanix, Inc.",Technology,40.41,15,33.0,14.0,18.79,0.95,62.0,20.0,75.0,-22.211234177215196,Q1 (Low)
NTAP,"NetApp, Inc.",Technology,97.23,15,35.0,41.0,11.38,1.42,78.0,20.0,80.0,-8.307955843167115,Q4
LSPD,Lightspeed Commerce Inc.,Technology,10.88,15,40.0,12.0,15.67,0.41,74.0,20.0,75.0,-10.44776119402985,Q3
ZLAB,Zai Lab Limited,Healthcare,16.21,14,45.0,28.0,57.33,,73.0,14.0,78.6,-10.503040353786615,Q2
Z,"Zillow Group, Inc. Class C",Communication Services,63.58,14,28.0,28.0,21.79,0.67,63.0,20.0,70.0,-4.354081478116008,Q1 (Low)
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,109.51,14,60.0,65.0,17.91,2.25,72.0,20.0,65.0,-8.982286096256683,Q2
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,210.48,14,51.0,33.0,23.02,4.52,76.0,20.0,75.0,11.081560283687944,Q3
WM,"Waste Management, Inc.",Industrials,222.315,14,26.0,20.0,23.67,1.65,66.0,20.0,70.0,1.048122493620129,Q1 (Low)
WB,Weibo Corporation,Communication Services,10.57,14,50.0,42.0,5.76,1.23,86.0,10.0,100.0,-2.3221912720519944,Q5 (High)
VRSK,"Verisk Analytics, Inc.",Industrials,214.665,14,26.0,24.0,24.99,2.17,73.0,20.0,80.0,-2.852288173991839,Q2
VKTX,"Viking Therapeutics, Inc.",Healthcare,29.5814,14,45.0,2.0,,,76.0,20.0,80.0,-6.517112632233976,Q3
UHS,"Universal Health Services, Inc.",Healthcare,201.74,14,50.0,51.0,7.76,0.71,86.0,20.0,95.0,-9.71867007672634,Q5 (High)
TTWO,"Take-Two Interactive Software, Inc.",Technology,226.165,14,35.0,0.0,28.92,0.21,71.0,20.0,70.0,-13.361315145155647,Q2
TT,Trane Technologies plc,Industrials,426.17999,14,38.0,13.0,25.42,1.91,80.0,20.0,85.0,9.617106171829032,Q4
TPR,"Tapestry, Inc.",Consumer Cyclical,128.14,14,50.0,9.0,20.21,1.71,78.0,20.0,85.0,0.6340932078114041,Q4
TKO,"TKO Group Holdings, Inc.",Communication Services,202.57,14,41.0,20.0,31.75,2.31,83.0,20.0,90.0,-1.4731156395777067,Q5 (High)
STZ,"Constellation Brands, Inc.",Consumer Defensive,154.96,14,36.0,32.0,12.52,1.88,77.0,20.0,80.0,8.73622903655885,Q3
STX,Seagate Technology Holdings plc,Technology,429.7,14,40.0,1.0,22.63,0.48,83.0,20.0,90.0,48.36283338508782,Q5 (High)
RL,Ralph Lauren Corporation,Consumer Cyclical,354.545,14,46.0,22.0,20.74,2.07,72.0,20.0,80.0,-0.48253932834987207,Q2
RH,Rh,Consumer Cyclical,195.45,14,59.0,60.0,19.58,0.45,69.0,20.0,65.0,-0.15719284011967055,Q2
RELX,RELX Plc,Communication Services,35.707,14,39.0,48.0,23.29,2.71,71.0,18.0,72.2,-15.590121111374966,Q2
PNR,Pentair plc,Industrials,105.93,14,43.0,18.0,18.05,1.95,79.0,20.0,90.0,3.038862374598232,Q4
PLNT,"Planet Fitness, Inc.",Consumer Cyclical,92.305,14,36.0,24.0,21.67,1.09,88.0,20.0,100.0,-12.711140633896372,Q5 (High)
PG,The Procter & Gamble Company,Consumer Defensive,153.11,14,26.0,19.0,20.88,3.9,85.0,20.0,90.0,9.011897129016175,Q5 (High)
PEG,Public Service Enterprise Group Incorporated,Utilities,81.34,14,26.0,28.0,17.22,2.34,77.0,20.0,85.0,1.3990420973027469,Q3
OC,Owens Corning,Industrials,122.79,14,31.0,33.0,9.82,0.51,75.0,20.0,85.0,8.507830371282775,Q3
MGM,MGM Resorts International,Consumer Cyclical,33.7,14,28.0,12.0,13.11,0.86,72.0,20.0,70.0,-6.521134593993323,Q2
TER,"Teradyne, Inc.",Technology,250.3435,14,40.0,0.0,33.4,0.94,75.0,20.0,80.0,13.956719817767649,Q3
SQM,Sociedad Química y Minera de Chile S.A.,Basic Materials,76.305,14,48.0,2.0,13.74,0.84,79.0,20.0,90.0,7.670373538637006,Q4
ONON,On Holding AG,Consumer Cyclical,45.26,14,40.0,35.0,27.1,0.99,66.0,20.0,55.0,-6.3367346938775455,Q1 (Low)
BF-A,Brown-Forman Corporation,Consumer Defensive,27.345,14,21.0,28.0,15.74,3.31,71.0,12.0,83.3,5.65384615384615,Q2
KO,The Coca-Cola Company,Consumer Defensive,74.83,14,54.0,14.0,21.67,2.9,73.0,20.0,75.0,10.111863408890203,Q2
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,57.3,14,73.0,56.0,19.29,0.36,64.0,20.0,55.0,1.94264569842739,Q1 (Low)
KMX,"CarMax, Inc.",Consumer Cyclical,44.63,14,38.0,38.0,17.96,,74.0,20.0,85.0,10.466269841269838,Q3
KHC,The Kraft Heinz Company,Consumer Defensive,23.285,14,30.0,0.0,9.22,4.15,62.0,20.0,60.0,-0.12620950778292445,Q1 (Low)
ICLR,ICON Public Limited Company,Healthcare,177.1721,14,46.0,30.0,12.22,1.18,78.0,20.0,85.0,-8.771130681243045,Q4
HUBG,"Hub Group, Inc.",Industrials,48.44,14,68.0,48.0,17.86,0.62,53.0,20.0,55.0,7.793384685092882,Q1 (Low)
HON,Honeywell International Inc.,Industrials,226.767,14,41.0,22.0,19.72,1.96,79.0,20.0,80.0,13.14336864090706,Q4
HNGE,"Hinge Health, Inc.",Healthcare,34.76,14,,,50.56,,71.0,11.0,72.7,-25.554607508532428,Q2
HEI,HEICO Corporation,Industrials,330.39,14,45.0,3.0,53.45,4.3,80.0,20.0,90.0,-3.135062349979503,Q4
GWW,"W.W. Grainger, Inc.",Industrials,1088.61,14,36.0,21.0,22.48,2.12,80.0,20.0,90.0,6.391740389730667,Q4
GEV,GE Vernova Inc.,Utilities,755.6735,14,48.0,22.0,35.31,0.64,69.0,20.0,75.0,6.68419351996005,Q2
FRSH,Freshworks Inc.,Technology,10.9258,14,38.0,7.0,13.2,0.66,79.0,12.0,91.7,-7.228915662650602,Q4
FOUR,"Shift4 Payments, Inc.",Technology,59.165,14,31.0,47.0,7.45,0.3,74.0,20.0,70.0,-7.692307692307695,Q3
ED,"Consolidated Edison, Inc.",Utilities,105.275,14,40.0,39.0,16.41,2.58,87.0,20.0,100.0,8.25380710659898,Q5 (High)
EA,Electronic Arts Inc.,Technology,203.7602,14,63.0,24.0,21.87,2.5,77.0,20.0,85.0,-0.21530632217656395,Q3
DUK,Duke Energy Corporation,Utilities,120.03,14,35.0,39.0,16.75,2.42,88.0,20.0,100.0,3.8866535399366424,Q5 (High)
DNLI,Denali Therapeutics Inc.,Healthcare,22.4068,14,65.0,0.0,,,74.0,20.0,75.0,35.705368289637946,Q3
DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,202.0,14,41.0,34.0,13.65,0.87,79.0,20.0,90.0,-2.4437361151357107,Q4
DHI,"D.R. Horton, Inc.",Consumer Cyclical,149.55,14,55.0,47.0,12.24,0.76,63.0,20.0,60.0,1.611141452758065,Q1 (Low)
DECK,Deckers Outdoor Corporation,Consumer Cyclical,114.36,14,46.0,36.0,15.64,2.37,74.0,20.0,75.0,10.39777983348752,Q3
CARR,Carrier Global Corporation,Industrials,60.11,14,46.0,53.0,18.36,1.33,73.0,20.0,80.0,10.764082543223646,Q2
BTSG,"BrightSpring Health Services, Inc. Common Stock",Healthcare,40.19,14,68.0,53.0,24.36,1.03,84.0,20.0,85.0,0.02547121752421069,Q5 (High)
BNTX,BioNTech SE,Healthcare,110.278,14,40.0,0.0,,,60.0,20.0,50.0,17.44966442953021,Q1 (Low)
BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,92.44,14,39.0,34.0,19.91,3.02,80.0,20.0,85.0,-0.7835140066545068,Q4
BC,Brunswick Corporation,Consumer Cyclical,80.78,14,63.0,18.0,15.07,0.56,79.0,20.0,80.0,6.012950971322845,Q4
AZO,"AutoZone, Inc.",Consumer Cyclical,3702.401,14,31.0,25.0,21.14,1.19,78.0,20.0,80.0,13.339962671725356,Q4
